2000 02 12 061 
2000 04 06 012 
2000 05 24 048 
2000 07 15 010 
2000 08 11 098 
2000 08 12 017 
2000 09 17 023 
2000 10 05 028 
2000 10 14 097 
2000 10 29 066 
2000 11 07 042 
2000 11 29 075 
2001 03 20 043 
2001 04 01 018 
2001 04 12 016 
2001 04 18 087 
2001 10 01 045 
2001 10 22 030 
2001 10 28 040 
2001 11 01 099 
2001 11 07 036 
2001 11 25 051 
2002 04 18 067 
2002 05 11 090 
2002 05 23 092 
2002 08 21 100 
2002 09 04 093 
2002 09 07 031 
2002 10 01 032 
2002 11 21 065 
2003 05 30 060 
2003 06 18 056 
2003 08 18 046 
2003 10 31 007 
2003 11 20 001 
2004 01 22 063 
2004 04 04 079 
2004 07 25 059 
2004 07 27 033 
2004 08 30 064 
2004 11 08 004 
2005 05 08 091 
2005 05 15 015 
2005 05 30 088 
2005 08 24 027 
2005 08 31 070 
2005 09 11 057 
2006 12 15 037 
2011 08 06 085 
2011 09 26 077 
2011 10 25 049 
2012 03 09 052 
2012 04 24 074 
2012 07 16 089 
2012 10 01 071 
2012 10 09 094 
2012 11 14 096 
2013 03 17 062 
2013 06 01 076 
2014 02 19 083 
2015 03 17 019 
2015 06 22 073 
2015 10 07 069 
2015 12 21 047 
2016 01 01 081 
